identifier,objectType,Lemma
hi:W:000222330,Word,निषिद्ध_पेय
hi:W:000222331,Word,अपेय
hi:W:000222370,Word,अपैठ
hi:W:000222380,Word,शकरख़ोरा
hi:W:000222381,Word,शकरखोरा
hi:W:000222392,Word,शक्करख़ोरा
hi:W:000222393,Word,शक्करखोरा
hi:W:000222394,Word,जुगजुगी
hi:W:000222412,Word,शक्करपारा
hi:W:000222413,Word,शक्कर-पारा
hi:W:000222420,Word,अपैतृक
hi:W:000222440,Word,शक्करी
hi:W:000222441,Word,शकरी
hi:W:000222442,Word,शर्करायुक्त
hi:W:000222443,Word,चीनीयुक्त
hi:W:000222450,Word,शकरीमुनिया
hi:W:000222451,Word,शकरी-मुनिया
hi:W:000222460,Word,खटबुना
hi:W:000222461,Word,खट-बुना
hi:W:000222470,Word,खटपूरा
hi:W:000222480,Word,पितृघाती
hi:W:000222481,Word,पितृहा
hi:W:000222490,Word,खट्टाचूक
hi:W:000222491,Word,खट्टा-चूक
hi:W:000222510,Word,अप्तोर्याम
hi:W:000222520,Word,अप्रकरण
hi:W:000222540,Word,वातकंटक
hi:W:000222541,Word,वातकण्टक
hi:W:000222542,Word,वातकंटक_रोग
hi:W:000222543,Word,वातकण्टक_रोग
hi:W:000222563,Word,पुष्पणी
hi:W:000222564,Word,पुष्पिता
hi:W:000222566,Word,ऋतुमति_स्त्री
hi:W:000222567,Word,कुसुमवती
hi:W:000222568,Word,नहानी
hi:W:000222569,Word,उदक्या
hi:W:0002225610,Word,स्त्रीधर्मिणी
hi:W:0002225611,Word,मध्यमिका
hi:W:0002225613,Word,पुष्पहासा
hi:W:0002225614,Word,वृषली
hi:W:0002225615,Word,मलिना
hi:W:0002225616,Word,मलिनी
hi:W:0002225618,Word,आत्रेयी
hi:W:000222571,Word,अप्रकाशनीय
hi:W:000222580,Word,त्रिस्तवा
hi:W:000222590,Word,त्रिस्तानी
hi:W:000222600,Word,त्रिवार
hi:W:000222620,Word,त्र्यक्षी
hi:W:000222630,Word,महाचित्ता
hi:W:000222640,Word,महाजंभ
hi:W:000222641,Word,महाजम्भ
hi:W:000222650,Word,महाजानु
hi:W:000222660,Word,महाजिह्व
hi:W:000222670,Word,महादैत्य
hi:W:000222680,Word,महाध्वनि
hi:W:000222690,Word,अजन्मगत
hi:W:000222691,Word,अजन्मजात
hi:W:000222700,Word,अप्रकृतआश्रितश्लेष
hi:W:000222710,Word,महानाभ
hi:W:000222740,Word,अप्रगाध
hi:W:000222752,Word,बझवट
hi:W:000222760,Word,अप्रतिकार
hi:W:000222800,Word,अप्रतिकारी
hi:W:000222820,Word,प्रतिकारी
hi:W:000222830,Word,अप्रतिक्रिया
hi:W:000222850,Word,अग्रहीत
hi:W:000222851,Word,अप्रतिगृहीत
hi:W:000222860,Word,अप्रतिग्रहण
hi:W:000222880,Word,सुधबुध
hi:W:000222881,Word,होशहवास
hi:W:000222882,Word,सुध-बुध
hi:W:000222883,Word,होश-हवास
hi:W:000222890,Word,अप्रतिघात
hi:W:000222891,Word,बेठोकर
hi:W:000222910,Word,भीमविक्रम
hi:W:000222920,Word,मलारी
hi:W:000222930,Word,महाकपोल
hi:W:000222970,Word,महाचक्र
hi:W:000223010,Word,अप्रतिदेय
hi:W:000223020,Word,कृशोदरी
hi:W:000223021,Word,छामोदरी
hi:W:000223022,Word,तनुमध्या
hi:W:000223023,Word,कटिहीना
hi:W:000223030,Word,अप्रतिदेय-ऋण
hi:W:000223031,Word,अप्रतिदेय_ऋण
hi:W:000223070,Word,भानुसेन
hi:W:000223080,Word,स्वच्छंदता
hi:W:000223081,Word,स्वच्छन्दता
hi:W:000223082,Word,अप्रतिबंध
hi:W:000223083,Word,अप्रतिबन्ध
hi:W:000223084,Word,निर्द्वंद्वता
hi:W:000223085,Word,निर्द्वन्द्वता
hi:W:000223089,Word,मनमौजीपन
hi:W:000223091,Word,प्रतिभाहीन
hi:W:000223092,Word,प्रतिभारहित
hi:W:000223093,Word,प्रतिभाविहीन
hi:W:000223100,Word,अप्रतिभा
hi:W:000223120,Word,अप्रतिभट
hi:W:000223130,Word,अप्रतियोगी
hi:W:000223140,Word,उद्योगपति
hi:W:000223160,Word,अप्रतिवीर्य
hi:W:000223170,Word,बलीन
hi:W:000223180,Word,बटेरबाजी
hi:W:000223181,Word,बटेरबाज़ी
hi:W:000223190,Word,अप्रतिषेध
hi:W:000223211,Word,रुरु_राग
hi:W:000223230,Word,अविकृत
hi:W:000223270,Word,यक्षिणी
hi:W:000223271,Word,यक्षी
hi:W:000223272,Word,यक्षन
hi:W:000223310,Word,चार्वी
hi:W:000223330,Word,देवजनी
hi:W:000223350,Word,पुण्यजनी
hi:W:000223360,Word,विद्वेषिणी
hi:W:000223370,Word,सुयशा
hi:W:000223390,Word,नंगा_करना
hi:W:000223391,Word,नंगियाना
hi:W:000223400,Word,सुरथा
hi:W:000223420,Word,सुप्रतिष्ठता
hi:W:000223451,Word,स्वर्णरेखा
hi:W:000223452,Word,सुवर्णरेखा_नदी
hi:W:000223453,Word,स्वर्णरेखा_नदी
hi:W:000223460,Word,बागमती
hi:W:000223461,Word,बाघमती
hi:W:000223462,Word,बागमती_नदी
hi:W:000223463,Word,बाघमती_नदी
hi:W:000223471,Word,गंडकी
hi:W:000223472,Word,गंडकी_नदी
hi:W:000223473,Word,गंडक_नदी
hi:W:000223475,Word,गण्डकी
hi:W:000223476,Word,गण्डक_नदी
hi:W:000223477,Word,गण्डकी_नदी
hi:W:000223478,Word,चक्र-नदी
hi:W:000223479,Word,चक्र_नदी
hi:W:000223480,Word,खड़कई
hi:W:000223481,Word,खड़कई_नदी
hi:W:000223502,Word,_बेगाना
hi:W:000223503,Word,_अजनबी
hi:W:000223510,Word,महापाश
hi:W:000223520,Word,मणिभद्र
hi:W:000223540,Word,मत्स्यद्वादशी
hi:W:000223550,Word,दक्षिणी
hi:W:000223551,Word,दक्खिनी
hi:W:000223552,Word,दक्षिणीय
hi:W:000223554,Word,अवाचीन
hi:W:000223560,Word,अप्रत्यनीक
hi:W:000223570,Word,अप्रभुत्व
hi:W:000223571,Word,अप्रभुता
hi:W:000223600,Word,अप्रमत्त
hi:W:000223601,Word,नशाहीन
hi:W:000223602,Word,नशारहित
hi:W:000223610,Word,अप्रमा
hi:W:000223640,Word,अप्रमाद
hi:W:000223641,Word,अभ्रांत
hi:W:000223642,Word,अभ्रान्त
hi:W:000223643,Word,अभ्रांति
hi:W:000223644,Word,अभ्रान्ति
hi:W:000223650,Word,अभ्रमित
hi:W:000223651,Word,भ्रमरहित
hi:W:000223656,Word,भ्रांतिशून्य
hi:W:000223670,Word,माइक
hi:W:000223671,Word,माइक्रोफोन
hi:W:000223672,Word,ध्वनिग्राही
hi:W:000223690,Word,मापनीय
hi:W:000223691,Word,नापनीय
hi:W:000223700,Word,मान्यवर
hi:W:000223720,Word,मानापमान
hi:W:000223730,Word,सुप्रतिष्ठा
hi:W:000223731,Word,सुपत
hi:W:000223820,Word,कुंजित
hi:W:000223830,Word,कुंज
hi:W:000223831,Word,निकुंज
hi:W:000223832,Word,कुञ्ज
hi:W:000223833,Word,निकुञ्ज
hi:W:000223834,Word,कुंजन
hi:W:000223850,Word,कपड़गंध
hi:W:000223851,Word,कपड़गन्ध
hi:W:000223852,Word,कपड़ाहंद
hi:W:000223890,Word,कुचिंता
hi:W:000223891,Word,कुचिन्ता
hi:W:000223892,Word,दुश्चिन्ता
hi:W:000223893,Word,दुश्चिंता
hi:W:000223920,Word,आत्मपरक
hi:W:000223950,Word,विषयपरक
hi:W:000223951,Word,विषयात्मक
hi:W:000223980,Word,भृंगराज
hi:W:000223981,Word,भिंगराज
hi:W:000223982,Word,भिंगोरी
hi:W:000223983,Word,भिंगोरा
hi:W:000223984,Word,भृंगरज
hi:W:000223985,Word,भृङ्गराज
hi:W:000223986,Word,भृङ्गरज
hi:W:000223987,Word,भंगराज
hi:W:000223988,Word,भँगरा
hi:W:000223989,Word,भंगरा
hi:W:0002239810,Word,केशरंजन
hi:W:0002239811,Word,भृंगक
hi:W:000223994,Word,भँग
hi:W:000223999,Word,भंगरैया
hi:W:0002239910,Word,भँगरैया
hi:W:0002239911,Word,भँगरैला
hi:W:0002239912,Word,भंगरैला
hi:W:0002239919,Word,मार्कव
hi:W:0002239920,Word,धूम्राट
hi:W:000224012,Word,खादर
hi:W:000224031,Word,अप्रमित
hi:W:000224032,Word,अप्रमेय
hi:W:000224035,Word,अमापनीय
hi:W:000224036,Word,मानरहित
hi:W:000224037,Word,बेअंदाज
hi:W:000224040,Word,कपिलवस्तु
hi:W:000224050,Word,माटा
hi:W:000224060,Word,मातृपालित
hi:W:000224131,Word,कपिला_नदी
hi:W:000224150,Word,प्राकाम्य
hi:W:000224180,Word,सँभालू
hi:W:000224181,Word,संभालू
hi:W:000224182,Word,सम्हालु
hi:W:000224183,Word,मेवड़ी
hi:W:000224184,Word,श्वेत_सिंधुवार
hi:W:000224185,Word,सम्भालू
hi:W:000224188,Word,शुक्त्यंगी
hi:W:000224189,Word,सिंधुआर
hi:W:0002241810,Word,शुक्लपृष्ठक
hi:W:000224190,Word,वशित्व
hi:W:000224191,Word,वाशित्व
hi:W:000224210,Word,मानवीकृत
hi:W:000224230,Word,कौचुमार
hi:W:000224240,Word,पौर्णमास्य
hi:W:000224250,Word,सह्याद्रि
hi:W:000224251,Word,सह्याद्री
hi:W:000224260,Word,वसुरुचि
hi:W:000224270,Word,सतलड़ा
hi:W:000224271,Word,सतौसर
hi:W:000224280,Word,सतलड़ी
hi:W:000224290,Word,अप्रमादी
hi:W:000224330,Word,नखरेबाजी
hi:W:000224331,Word,चोचलेबाजी
hi:W:000224332,Word,चोंचलेबाजी
hi:W:000224333,Word,नखरेबाज़ी
hi:W:000224334,Word,चोचलेबाज़ी
hi:W:000224335,Word,चोंचलेबाज़ी
hi:W:000224336,Word,नख़रेबाज़ी
hi:W:000224340,Word,सतपुड़ा
hi:W:000224350,Word,विंध्याचल
hi:W:000224351,Word,विन्ध्याचल
hi:W:000224352,Word,बिंध
hi:W:000224353,Word,बिन्ध
hi:W:000224354,Word,विंध्य-गिरि
hi:W:000224355,Word,विंध्याचल_पर्वत
hi:W:000224356,Word,जलबालक
hi:W:000224360,Word,अप्रयोजक
hi:W:000224370,Word,अप्रयोग
hi:W:000224371,Word,अयुक्तता
hi:W:000224372,Word,अयुक्तत्व
hi:W:000224390,Word,गोकणी
hi:W:000224391,Word,मुरहरी
hi:W:000224392,Word,चुरनहार
hi:W:000224393,Word,गोकर्णी
hi:W:000224394,Word,मुरहटी
hi:W:000224395,Word,तैलस्यंदा
hi:W:000224396,Word,तैसस्यन्दा
hi:W:000224401,Word,श्वपामन
hi:W:000224402,Word,काकच्छदि
hi:W:000224410,Word,अप्रवर्तक
hi:W:000224420,Word,अप्रवृद्ध
hi:W:000224430,Word,अप्रवृत्त
hi:W:000224431,Word,अकार्यसाधक
hi:W:000224432,Word,अव्यवहारीय
hi:W:000224440,Word,गोखरू
hi:W:000224441,Word,घट्ठा
hi:W:000224442,Word,किण
hi:W:000224457,Word,अश्वद्रंष्ट्रा
hi:W:000224458,Word,अश्व-दंष्ट्रा
hi:W:000224459,Word,अस्वादुकंटक
hi:W:0002244510,Word,वनशृंगार
hi:W:000224470,Word,नवारा
hi:W:000224480,Word,पिच्छिलपाद
hi:W:000224512,Word,सज्जा_सामग्री
hi:W:000224540,Word,गोखुर
hi:W:000224570,Word,भकराँध
hi:W:000224580,Word,भकराँधा
hi:W:000224590,Word,भकसा
hi:W:000224591,Word,बुसा_हुआ
