identifier,objectType,createdBy,consumerId,audience,copyType,versionKey
do_30110242,Content,1115,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30110521,Content,1125,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30110704,Content,1125,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30110706,Content,1125,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30110905,Content,1125,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30111005,Content,1125,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30111006,Content,1125,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121572613532631041122,Content,1125,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121578172405923842251,Content,1110,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121578351836938241261,Content,334,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121629331841105922136,Content,788,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121648906126376962440,Content,1110,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121670602438737922603,Content,323,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_3121670863953674241240,Content,323,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31217211927229235221147,Content,286,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31217278445779353621310,Content,452,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31218124373989785621289,Content,386,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31218125562820198411423,Content,543,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31218131070093721611442,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_31218139184676864011463,Content,323,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
